epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.697,0.86762,2.65873,0.9963,1,0.70598,0.98567,0.75179,0.79868,2.36856,0.8321,0.00052,0.00052,0.00052
2,113.535,0.93361,1.69358,0.97455,0.92092,1,0.943,0.66189,1.2025,1.58978,0.96316,0.00101802,0.00101802,0.00101802
3,170.209,1.0008,2.10976,1.00003,0.93233,0.985,0.99033,0.53104,1.16575,2.34147,0.95406,0.00147328,0.00147328,0.00147328
4,229.901,1.09088,2.17923,1.01971,0.93233,0.985,0.99033,0.53104,1.16575,2.34147,0.95406,0.0017624,0.0017624,0.0017624
5,284.369,0.996,1.8126,1.01934,0.97048,1,0.995,0.69241,1.11904,1.69145,0.9529,0.0016832,0.0016832,0.0016832
6,340.794,0.87588,1.70733,1.02186,1,0.98818,0.995,0.81734,0.80228,1.75178,0.93686,0.001604,0.001604,0.001604
7,396.99,0.84932,1.52104,1.03653,0.93043,0.95651,0.99033,0.78792,0.87204,1.79022,0.97704,0.0015248,0.0015248,0.0015248
8,452.392,0.79799,1.78878,0.97213,0.98368,1,0.995,0.81917,0.8251,1.48001,0.95123,0.0014456,0.0014456,0.0014456
9,509.814,0.7324,1.60057,0.96983,1,0.9959,0.995,0.81175,0.76354,1.5232,0.96991,0.0013664,0.0013664,0.0013664
10,564.242,0.81639,1.60933,1.00494,1,0.9959,0.995,0.81175,0.76354,1.5232,0.96991,0.0012872,0.0012872,0.0012872
11,620.331,0.70472,1.46388,0.9565,0.99675,1,0.995,0.80034,0.78557,1.43185,0.97298,0.001208,0.001208,0.001208
12,675.427,0.70329,1.36232,0.95707,0.99393,1,0.995,0.82981,0.70041,1.33966,0.96246,0.0011288,0.0011288,0.0011288
13,730.509,0.77009,1.17134,1.0459,0.99373,1,0.995,0.82787,0.73616,1.23786,0.9845,0.0010496,0.0010496,0.0010496
14,786.809,0.70947,1.30025,0.97531,0.99458,1,0.995,0.82929,0.66327,1.25205,0.92063,0.0009704,0.0009704,0.0009704
15,841.053,0.6908,1.23534,0.95563,0.99607,1,0.995,0.79421,0.71077,1.07044,0.95691,0.0008912,0.0008912,0.0008912
16,896.398,0.57025,1.41622,0.86941,0.99596,1,0.995,0.84078,0.66148,1.05267,0.97651,0.000812,0.000812,0.000812
17,952.272,0.52378,1.35314,0.837,0.99596,1,0.995,0.84078,0.66148,1.05267,0.97651,0.0007328,0.0007328,0.0007328
18,1006.22,0.49961,1.36355,0.86571,0.99594,1,0.995,0.83394,0.6616,1.08979,1.00245,0.0006536,0.0006536,0.0006536
19,1062.27,0.50134,1.35274,0.87405,0.9961,1,0.995,0.84472,0.64587,1.11484,0.98159,0.0005744,0.0005744,0.0005744
20,1117.49,0.43746,1.33494,0.83432,0.99625,1,0.995,0.87816,0.60621,1.00634,0.94792,0.0004952,0.0004952,0.0004952
21,1173.21,0.46086,1.25823,0.83002,0.99617,1,0.995,0.87562,0.59312,0.92993,0.93499,0.000416,0.000416,0.000416
22,1228.16,0.46306,1.22759,0.81327,0.99618,1,0.995,0.87484,0.59747,0.92662,0.96476,0.0003368,0.0003368,0.0003368
23,1283.22,0.44869,1.2254,0.8234,0.99618,1,0.995,0.87484,0.59747,0.92662,0.96476,0.0002576,0.0002576,0.0002576
24,1338.9,0.50111,1.17459,0.8378,0.9961,1,0.995,0.88441,0.58984,0.9098,0.95428,0.0001784,0.0001784,0.0001784
25,1394.27,0.48342,1.18008,0.86389,0.99616,1,0.995,0.87329,0.58168,0.91114,0.93508,9.92e-05,9.92e-05,9.92e-05
